Name,Prices,Ratings,value_score
Lenovo V15 G4 AMD Athlon Silver 7120U Laptop 8GB LPDDR5 Ram,30999,4.0,0.0001290364205296945
Lenovo V15 G4 AMD Ryzen 5 7520U 15.6 inch FHD Laptop,41990,4.0,9.526077637532746e-05
MSI Thin A15,58450,4.0,6.843455945252352e-05
HP Victus,62990,4.3,6.826480393713287e-05
MSI Thin 15,60990,4.1,6.722413510411543e-05
Lenovo ThinkBook 16,55990,3.7,6.608322914806216e-05
acer SmartChoice ALG,62990,4.0,6.350214319733291e-05
acer Nitro V,61800,3.8,6.148867313915857e-05
ASUS TUF Gaming A15,71990,4.3,5.973051812751771e-05
ASUS TUF Gaming A15,66990,3.8,5.6724884311091206e-05
acer Nitro V 15,78990,3.8,4.810735536143816e-05
Lenovo LOQ 2024,91900,4.1,4.461371055495103e-05
MSI Katana 15,110346,4.4,3.987457633262647e-05
ASUS TUF A16 (2025),102990,4.1,3.98096902611904e-05
HP Smartchoice Victus,109990,4.0,3.6366942449313574e-05
HP Victus,119490,4.2,3.51493848857645e-05
Lenovo LOQ,149900,4.2,2.8018679119412942e-05
ASUS ROG Strix G16,154990,4.2,2.7098522485321634e-05
ASUS ROG Strix G16,275990,3.8,1.3768614804884234e-05
ASUS ROG Strix SCAR 18,479990,3.8,7.916831600658347e-06
